 frequency  @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[cdd] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[cgb] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[cgd] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[cgdo] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[cgg] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[cgs] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[cgso] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[css] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[gds] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[gm] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[gmbs] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[id] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[l] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[vds] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[vdsat] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[vgs] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[vth] frequency 
 1.000e+00 -3.262e-20 -2.261e-15  4.185e-20  1.449e-15  2.313e-15 -5.172e-17  1.574e-15  5.787e-17  1.587e-12  5.200e-11  2.216e-11  2.918e-12  5.000e-07  1.400e+00  4.188e-02 -1.693e-13  8.339e-01  1.000e+00 
 1.000e+00 -1.408e-20 -1.900e-15  2.227e-20  1.449e-15  1.920e-15 -2.040e-17  1.574e-15  1.859e-17  1.149e-13  3.819e-12  1.198e-12  2.017e-13  5.000e-07  1.400e+00  4.358e-02  1.153e-14  9.274e-01  1.000e+00 
 1.000e+00 -6.864e-21 -1.669e-15  1.223e-20  1.449e-15  1.678e-15 -9.042e-18  1.574e-15  7.234e-18  1.371e-14  4.546e-13  1.148e-13  2.311e-14  5.000e-07  1.400e+00  4.471e-02  4.509e-14  1.004e+00  1.000e+00 
 1.000e+00 -3.593e-21 -1.506e-15  6.863e-21  1.449e-15  1.510e-15 -4.316e-18  1.574e-15  3.154e-18  2.240e-15  7.360e-14  1.570e-14  3.642e-15  5.000e-07  1.400e+00  4.555e-02  6.942e-14  1.071e+00  1.000e+00 
 1.000e+00 -3.298e-20 -2.261e-15  4.213e-20  1.447e-15  2.313e-15 -5.176e-17  1.574e-15  5.793e-17  1.599e-12  5.484e-11  2.335e-11  3.078e-12  5.000e-07  1.500e+00  4.188e-02 -1.785e-13  8.337e-01  1.000e+00 
 1.000e+00 -1.420e-20 -1.900e-15  2.238e-20  1.447e-15  1.920e-15 -2.043e-17  1.574e-15  1.861e-17  1.160e-13  4.037e-12  1.265e-12  2.133e-13  5.000e-07  1.500e+00  4.358e-02  1.086e-14  9.273e-01  1.000e+00 
 1.000e+00 -6.916e-21 -1.669e-15  1.228e-20  1.447e-15  1.678e-15 -9.056e-18  1.574e-15  7.246e-18  1.387e-14  4.818e-13  1.215e-13  2.449e-14  5.000e-07  1.500e+00  4.471e-02  4.501e-14  1.004e+00  1.000e+00 
 1.000e+00 -3.618e-21 -1.506e-15  6.891e-21  1.447e-15  1.510e-15 -4.324e-18  1.574e-15  3.160e-18  2.270e-15  7.816e-14  1.665e-14  3.867e-15  5.000e-07  1.500e+00  4.555e-02  6.941e-14  1.071e+00  1.000e+00 
 1.000e+00  4.124e-16 -2.119e-15 -3.583e-16  1.587e-15  2.301e-15  1.763e-16  1.587e-15 -4.160e-17  1.413e-10  0.000e+00  0.000e+00  0.000e+00  5.000e-07  0.000e+00  4.188e-02  1.000e-01  8.356e-01  1.000e+00 
 1.000e+00  1.527e-16 -1.823e-15 -1.382e-16  1.587e-15  1.893e-15  6.844e-17  1.587e-15 -2.055e-17  9.980e-12  0.000e+00  0.000e+00  0.000e+00  5.000e-07  0.000e+00  4.358e-02  1.000e-01  9.295e-01  1.000e+00 
 1.000e+00  6.298e-17 -1.619e-15 -5.854e-17  1.587e-15  1.650e-15  2.794e-17  1.587e-15 -9.045e-18  1.139e-12  0.000e+00  0.000e+00  0.000e+00  5.000e-07  0.000e+00  4.471e-02  1.000e-01  1.007e+00  1.000e+00 
 1.000e+00  2.837e-17 -1.470e-15 -2.688e-17  1.587e-15  1.485e-15  1.218e-17  1.587e-15 -4.066e-18  1.763e-13  0.000e+00  0.000e+00  0.000e+00  5.000e-07  0.000e+00  4.555e-02  1.000e-01  1.074e+00  1.000e+00 
 1.000e+00  5.547e-18 -2.134e-15 -4.198e-18  1.574e-15  2.256e-15 -1.184e-16  1.587e-15  1.314e-16  1.590e-11  9.037e-11  3.753e-11  5.072e-12  5.000e-07  1.000e-01  4.188e-02  1.000e-01  8.354e-01  1.000e+00 
 1.000e+00  1.801e-18 -1.827e-15 -1.407e-18  1.574e-15  1.876e-15 -4.726e-17  1.587e-15  4.456e-17  1.197e-12  6.972e-12  2.161e-12  3.683e-13  5.000e-07  1.000e-01  4.358e-02  1.000e-01  9.294e-01  1.000e+00 
 1.000e+00  7.084e-19 -1.621e-15 -5.629e-19  1.574e-15  1.643e-15 -2.130e-17  1.587e-15  1.793e-17  1.437e-13  8.431e-13  2.123e-13  4.286e-14  5.000e-07  1.000e-01  4.471e-02  1.000e-01  1.007e+00  1.000e+00 
 1.000e+00  3.124e-19 -1.471e-15 -2.504e-19  1.574e-15  1.481e-15 -1.043e-17  1.587e-15  8.091e-18  2.327e-14  1.363e-13  2.920e-14  6.745e-15  5.000e-07  1.000e-01  4.555e-02  1.000e-01  1.074e+00  1.000e+00 
 1.000e+00  9.315e-19 -2.134e-15 -6.508e-19  1.554e-15  2.255e-15 -1.198e-16  1.587e-15  1.321e-16  1.033e-11  1.119e-10  4.633e-11  6.282e-12  5.000e-07  2.000e-01  4.188e-02  1.000e-01  8.353e-01  1.000e+00 
 1.000e+00  2.987e-19 -1.827e-15 -2.049e-19  1.554e-15  1.875e-15 -4.777e-17  1.587e-15  4.481e-17  7.937e-13  8.715e-12  2.691e-12  4.604e-13  5.000e-07  2.000e-01  4.358e-02  1.000e-01  9.292e-01  1.000e+00 
 1.000e+00  1.150e-19 -1.621e-15 -7.530e-20  1.554e-15  1.643e-15 -2.151e-17  1.587e-15  1.804e-17  9.734e-14  1.063e-12  2.665e-13  5.404e-14  5.000e-07  2.000e-01  4.471e-02  1.000e-01  1.007e+00  1.000e+00 
 1.000e+00  4.939e-20 -1.471e-15 -3.016e-20  1.554e-15  1.481e-15 -1.053e-17  1.587e-15  8.141e-18  1.609e-14  1.733e-13  3.694e-14  8.575e-15  5.000e-07  2.000e-01  4.555e-02  1.000e-01  1.073e+00  1.000e+00 
 1.000e+00  2.621e-19 -2.134e-15 -1.481e-19  1.534e-15  2.254e-15 -1.199e-16  1.587e-15  1.322e-16  9.447e-12  1.294e-10  5.342e-11  7.262e-12  5.000e-07  3.000e-01  4.188e-02  1.000e-01  8.352e-01  1.000e+00 
 1.000e+00  7.805e-20 -1.827e-15 -3.228e-20  1.534e-15  1.875e-15 -4.782e-17  1.587e-15  4.486e-17  7.345e-13  1.015e-11  3.124e-12  5.361e-13  5.000e-07  3.000e-01  4.358e-02  1.000e-01  9.291e-01  1.000e+00 
 1.000e+00  2.747e-20 -1.621e-15 -4.973e-21  1.534e-15  1.643e-15 -2.154e-17  1.587e-15  1.807e-17  9.106e-14  1.247e-12  3.115e-13  6.339e-14  5.000e-07  3.000e-01  4.471e-02  1.000e-01  1.006e+00  1.000e+00 
 1.000e+00  1.054e-20 -1.471e-15  1.676e-21  1.534e-15  1.481e-15 -1.055e-17  1.587e-15  8.156e-18  1.520e-14  2.047e-13  4.346e-14  1.013e-14  5.000e-07  3.000e-01  4.555e-02  1.000e-01  1.073e+00  1.000e+00 
 1.000e+00  7.464e-20 -2.134e-15 -8.666e-21  1.517e-15  2.254e-15 -1.199e-16  1.587e-15  1.323e-16  9.156e-12  1.459e-10  6.011e-11  8.189e-12  5.000e-07  4.000e-01  4.188e-02  1.000e-01  8.351e-01  1.000e+00 
 1.000e+00  1.586e-20 -1.827e-15  1.593e-20  1.517e-15  1.875e-15 -4.786e-17  1.587e-15  4.492e-17  7.175e-13  1.152e-11  3.537e-12  6.086e-13  5.000e-07  4.000e-01  4.358e-02  1.000e-01  9.289e-01  1.000e+00 
 1.000e+00  2.730e-21 -1.621e-15  1.473e-20  1.517e-15  1.643e-15 -2.156e-17  1.587e-15  1.809e-17  8.957e-14  1.424e-12  3.547e-13  7.240e-14  5.000e-07  4.000e-01  4.471e-02  1.000e-01  1.006e+00  1.000e+00 
 1.000e+00 -4.555e-22 -1.471e-15  1.061e-20  1.517e-15  1.481e-15 -1.056e-17  1.587e-15  8.171e-18  1.504e-14  2.352e-13  4.976e-14  1.164e-14  5.000e-07  4.000e-01  4.555e-02  1.000e-01  1.073e+00  1.000e+00 
